time: 2021-03-11 17:43:09.651343        x1: -0.496    y1: 0.144    z1: -0.896
time: 2021-03-11 17:43:09.651343        x2: 0.48    y2: 0.416    z2: -0.8
time: 2021-03-11 17:43:10.041826        x1: -0.512    y1: 0.112    z1: -0.896
time: 2021-03-11 17:43:10.041826        x2: 0.48    y2: 0.416    z2: -1.04
time: 2021-03-11 17:43:10.430735        x1: -0.496    y1: 0.128    z1: -0.912
time: 2021-03-11 17:43:10.430735        x2: 0.224    y2: 0.448    z2: -0.672
time: 2021-03-11 17:43:10.723306        x1: -0.528    y1: 0.16    z1: -0.88
time: 2021-03-11 17:43:10.723306        x2: 0.24    y2: -0.368    z2: -1.008
time: 2021-03-11 17:43:11.016482        x1: -0.528    y1: 0.096    z1: -0.96
time: 2021-03-11 17:43:11.016482        x2: 0.128    y2: 0.304    z2: -0.72
time: 2021-03-11 17:43:11.455514        x1: -0.64    y1: 0.032    z1: -0.832
time: 2021-03-11 17:43:11.455514        x2: 0.352    y2: 0.128    z2: -1.04
time: 2021-03-11 17:43:11.844595        x1: -0.368    y1: -0.016    z1: -0.992
time: 2021-03-11 17:43:11.844595        x2: 0.224    y2: 0.256    z2: -0.944
time: 2021-03-11 17:43:12.185850        x1: -0.4    y1: 0.16    z1: -0.976
time: 2021-03-11 17:43:12.185850        x2: 0.256    y2: 0.24    z2: -0.96
time: 2021-03-11 17:43:12.528068        x1: -0.336    y1: 0.128    z1: -1.008
time: 2021-03-11 17:43:12.528068        x2: 0.256    y2: 0.24    z2: -0.944
time: 2021-03-11 17:43:12.869071        x1: -0.352    y1: 0.128    z1: -0.96
time: 2021-03-11 17:43:12.869071        x2: 0.192    y2: 0.176    z2: -1.008
time: 2021-03-11 17:43:13.258370        x1: -0.4    y1: 0.176    z1: -0.96
time: 2021-03-11 17:43:13.258370        x2: 0.192    y2: 0.208    z2: -0.976
time: 2021-03-11 17:43:13.599649        x1: -0.32    y1: 0.16    z1: -0.992
time: 2021-03-11 17:43:13.599649        x2: 0.256    y2: 0.176    z2: -0.992
time: 2021-03-11 17:43:13.892956        x1: -0.192    y1: 0.112    z1: -0.944
time: 2021-03-11 17:43:13.892956        x2: 0.24    y2: 0.176    z2: -0.992
time: 2021-03-11 17:43:14.283135        x1: -0.16    y1: -0.016    z1: -1.008
time: 2021-03-11 17:43:14.283135        x2: 0.224    y2: 0.16    z2: -0.944
time: 2021-03-11 17:43:14.672943        x1: -0.128    y1: -0.032    z1: -1.04
time: 2021-03-11 17:43:14.672943        x2: 0.272    y2: 0.16    z2: -1.008
time: 2021-03-11 17:43:15.062508        x1: -0.112    y1: -0.032    z1: -1.04
time: 2021-03-11 17:43:15.062508        x2: 0.256    y2: 0.16    z2: -0.976
time: 2021-03-11 17:43:15.403670        x1: -0.032    y1: -0.016    z1: -1.008
time: 2021-03-11 17:43:15.403670        x2: 0.272    y2: 0.16    z2: -0.976
time: 2021-03-11 17:43:15.745809        x1: -0.128    y1: -0.032    z1: -1.024
time: 2021-03-11 17:43:15.745809        x2: 0.288    y2: 0.16    z2: -0.976
time: 2021-03-11 17:43:16.184915        x1: -0.064    y1: -0.032    z1: -1.056
time: 2021-03-11 17:43:16.184915        x2: 0.288    y2: 0.16    z2: -0.96
time: 2021-03-11 17:43:16.623199        x1: -0.208    y1: 0.048    z1: -0.96
time: 2021-03-11 17:43:16.623199        x2: 0.336    y2: 0.176    z2: -0.944
time: 2021-03-11 17:43:17.012831        x1: -0.192    y1: -0.032    z1: -1.072
time: 2021-03-11 17:43:17.012831        x2: 0.304    y2: 0.192    z2: -0.912
time: 2021-03-11 17:43:17.403029        x1: -0.048    y1: -0.016    z1: -1.04
time: 2021-03-11 17:43:17.403029        x2: 0.336    y2: 0.16    z2: -0.96
time: 2021-03-11 17:43:17.792910        x1: 0.048    y1: -0.064    z1: -1.088
time: 2021-03-11 17:43:17.792910        x2: 0.336    y2: 0.176    z2: -0.944
time: 2021-03-11 17:43:18.133465        x1: -0.128    y1: 0.0    z1: -1.024
time: 2021-03-11 17:43:18.133465        x2: 0.32    y2: 0.144    z2: -0.976
time: 2021-03-11 17:43:18.474711        x1: -0.144    y1: 0.032    z1: -1.04
time: 2021-03-11 17:43:18.474711        x2: 0.32    y2: 0.176    z2: -0.944
time: 2021-03-11 17:43:18.816590        x1: -0.128    y1: 0.016    z1: -1.024
time: 2021-03-11 17:43:18.816590        x2: 0.304    y2: 0.176    z2: -0.944
time: 2021-03-11 17:43:19.206624        x1: -0.08    y1: 0.096    z1: -1.04
time: 2021-03-11 17:43:19.206624        x2: 0.32    y2: 0.192    z2: -0.944
time: 2021-03-11 17:43:19.597209        x1: -0.16    y1: 0.112    z1: -1.008
